Overline,Title,Blurb,URL,Thumbnail,Latitude,Longitude,icontype
Northglen,"Storm causes some crop damage, but provides farmers needed moisture","""As far as crops and fields go, for the most part it's a blessing,"" Wagner said. ""But you hate to get caught up on yearly rainfall totals in a couple of days. You'd rather have it spread out over the year.""",http://www.denverpost.com/breakingnews/ci_24082419/storm-causes-some-crop-damage-but-provides-farmers,http://extras.mnginteractive.com/live/media/site36/2013/0912/20130912__northglenn_flooding_tractor_colorado~p1.jpg,40.115311,-105.026812,rainy
Estes Park,Elkhorn under water in downtown Estes Park,"The historic flooding event that is occurring in Estes Park and all along the Front Range today is not over, according to multiple agencies.",http://www.denverpost.com/breakingnews/ci_24087043/ekhorn-under-water-downtown-estes-park,http://extras.mnginteractive.com/live/media/site28/2013/0913/20130913_095509_13epelkhorn%20and%20moraine_500.jpg,40.384811,-105.485812,rainy
Denver,Seeing impaired man and his dog rescued from Denver culvert,"A man and his dog were sucked down a drainage culvert in northeast Denver on Friday morning.

The victim came out of the pipe a few blocks away and was treated at the scene before being taken to a local hospital.",http://www.denverpost.com/breakingnews/ci_24087684/colorado-flood-denver-man-washed-into-culvert,http://extras.mnginteractive.com/live/media/site36/2013/0913/20130913__colorado_flooding_denver~p1.jpg,39.736811,-104.885812,rainy
Sunshine Canyon,'It's like Noah's Ark': Sunshine Canyon residents survey flood damage near Boulder,Small streams and rivulets of water rushed down Sunshine Canyon Drive as residents surveyed the damage from flooding and heavy rain Thursday morning.,http://www.denverpost.com/breakingnews/ci_24079611/its-like-noahs-ark-sunshine-canyon-residents-survey,http://extras.mnginteractive.com/live/media/site21/2013/0912/20130912_040855_road1_300.jpg,40.045311,-105.336812,rainy
Broomfield,Desperate Rock Creek rescue is successful,Lt. Rob Williams saw three vehicles in the rushing waters of Rock Creek when his North Metro Fire & Rescue crew arrived after a section of Dillon Road collapsed in torrential rain Thursday morning.,http://www.denverpost.com/colorado/ci_24079118/desperate-rock-creek-rescue-is-successful,http://extras.mnginteractive.com/live/media/site36/2013/0912/20130912__broomfield_flooding_dillon_road~p1.jpg,39.957611,-105.090212,rainy
Big Thompson Canyon,Floodwaters breach Hwy. 34 in two places in the Big Thompson Canyon,Larimer County officials are now saying that there are two breaches of U.S. Highway 34 in the Big Thompson Canyon.,http://www.denverpost.com/breakingnews/ci_24079653/floodwaters-breach-hwy-34-two-places-big-thompson,,40.450311,-105.385812,rainy
Boulder County,"'We are still in life-safety mode' as floodwaters top 12 dams, kill at least 2","Emergency officials are braced for another night of flash flooding after torrential rainfall prompted 100-year flooding that has, so far, resulted in two confirmed deaths, at least one feared dead and National Guard rescue efforts in Lyons.",http://www.denverpost.com/breakingnews/ci_24072038/boulder-county-broomfield-under-flash-flood-warning-major,http://extras.mnginteractive.com/live/media/site21/2013/0912/20130912__flood_400.jpg,40.072311,-105.01812,rainy
Rocky Mountain Arsenal,"Dams break at Rocky Mountain Arsenal, Larimer County","A record-shattering rainstorm across Colorado's Front Range led to flooding that blew out as many as five dams Thursday, stranding a Larimer County family on the second floor of their home and breaching a federal stormwater holding pond northeast of Denver.",http://www.denverpost.com/environment/ci_24080336/dams-break-at-rocky-mountain-arsenal-and-larimer,http://extras.mnginteractive.com/live/media/site36/2013/0912/20130912__cam_breach_rocky_mountain_arsenal~p1_200.jpg,39.832311,-104.86812,rainy
Aurora,Some stranded Aurora residents retrieved by rafts,"Heavy rains have snarled traffic, flooded streets and parks and swamped an apartment complex, requiring a water rescue Thursday.",http://www.denverpost.com/breakingnews/ci_24079478/colorado-flood-aurora-residents-asked-stay-off-roads,http://extras.mnginteractive.com/live/media/site36/2013/0912/20130912__expo_park_aurora_flooding~p1_200.jpg,39.681611,-104.847212,rainy
Morrison,Morrison: Four homes evacuated along Bear Creek,"Emergency workers evacuated four homes near the swollen banks of Bear Creek Friday morning, and were going door to door to warn residents about a possible dam break that could endanger the town.",http://www.denverpost.com/breakingnews/ci_24088649/morrison-four-homes-evacuated-along-bear-creek,,39.650611,-105.195212,rainy
Longs Peak,Floods hamper rescue efforts for hikers stranded on Longs Peak,Search and rescue teams from Larimer and Boulder counties have launched efforts to aid two experienced mountaineers trapped below the summit of Longs Peak in icy conditions.,http://www.denverpost.com/breakingnews/ci_24088636/floods-hamper-rescue-efforts-hikers-stranded-longs-peak,http://extras.mnginteractive.com/live/media/site36/2013/0913/20130913__suzanne_turrell~p1_200.jpg,40.254811,-105.615812,rainy
Kersey,Officials watch high water near Kersey,Concerns over a dam collapsing in Weld County's Latham Reservoir could force the entire town of Kersey to evacuate.,http://www.denverpost.com/breakingnews/ci_24089186/colorado-flood-officials-watch-high-water-kersey,http://extras.mnginteractive.com/live/media/site36/2013/0913/20130913__weld-co-5~p1.jpg,40.390611,-104.555212,rainy
"Fort Collins, Loveland","Bridges closed in Fort Collins, Loveland by high water","Fort Collins residents woke up Friday to closed schools and city and county offices, flooded streets, closed bridges and a river flowing at 100 times its normal flow.",http://www.denverpost.com/breakingnews/ci_24088546/colorado-flood-bridges-closed-fort-collins-loveland-by,http://extras.mnginteractive.com/live/media/site36/2013/0913/20130913__first_street_loveland_colorado_flood~p1_200.jpg,40.450611,-105.063212,rainy
Evergreen,Evergreen: Downtown streets flooded,Downtown streets were barricaded and most businesses closed Friday afternoon after floodwaters shut down roads and created dangerous conditions here.,http://www.denverpost.com/breakingnews/ci_24088590/colorado-floods-roads-washing-out-evergreen-residents-urged,http://extras.mnginteractive.com/live/media/site36/2013/0913/20130913__Evergreen_Statue_and_Dam~p1_200.jpg,39.654811,-105.295812,rainy
Salina,"Flooding in Colorado devastates Salina, Four Mile Canyon","Leslie Martin and Matt Smart were awakened by a friend Thursday morning, September 12, with just enough time to put on shoes and grab their dogs before they fled their home as a wall of water filled with debris and vehicles swept down Gold Run Road.",http://photos.denverpost.com/2013/09/14/video-flooding-in-colorado-devastates-salina-four-mile-canyon/,http://photos.denverpost.com/files/2013/09/thumb-vid1-114x114.jpg,40.050998,-105.3626127,movies
Morgan County,Evacuations begin in Morgan County,"Mandatory evacuations have been ordered on both banks of the South Platte River in the eastern Morgan County, including the towns of Orchard, Goodrich and Weldona.",http://www.denverpost.com/breakingnews/ci_24095452/colorado-flood-evacuations-begin-morgan-county,,40.331811,-104.117512,rainy
